Employee_ID,Employee_Name,Gender,Age,Department,Job_Role,Job_Level,Education,Years_At_Company,Total_Work_Experience,Salary,Salary_Band,Overtime,Work_Life_Balance,Job_Satisfaction,Environment_Satisfaction,Performance_Rating,Training_Hours,Promotion_Last_Year,Manager_Tenure,Remote_Status,Business_Travel,Absence_Days,Attrition,Hire_Date,Exit_Date
EMP000001,Employee_1,Male,23.0,IT,Data Scientist,5,PhD,8.0,8,124518.0,High,No,4,2,4,3,15,0,4.0,Fully Remote,Travel_Rarely,27,No,2012-05-10,
EMP000002,Employee_2,Female,51.0,Research & Development,Research Scientist,1,Bachelor,1.9,29,83699.0,Medium,Yes,2,2,4,2,52,1,0.0,On-Site,Travel_Rarely,22,No,2024-10-04,
EMP000003,Employee_3,Female,33.0,Research & Development,Manufacturing Director,4,Bachelor,2.4,11,100431.0,High,Yes,3,4,2,3,11,0,0.3999999999999999,On-Site,Travel_Rarely,25,No,2024-04-23,
EMP000004,Employee_4,Female,39.0,Human Resources,Manager,4,Bachelor,2.5,17,113027.0,High,No,4,2,2,3,87,1,1.5,On-Site,Non-Travel,9,No,2024-03-19,
EMP000005,Employee_5,Female,45.0,Research & Development,Manufacturing Director,1,Master,6.3,23,82105.0,Medium,No,1,4,3,3,30,0,4.3,On-Site,Travel_Rarely,9,No,2020-04-30,
EMP000006,Employee_6,Female,33.0,Research & Development,Laboratory Technician,1,Master,8.2,11,75797.0,Medium,No,4,1,1,4,34,0,4.199999999999999,On-Site,Non-Travel,18,Yes,2018-06-20,2023-01-10
EMP000007,Employee_7,Female,39.0,Finance,Financial Analyst,5,High School,1.0,17,142699.0,Very High,No,1,3,2,3,12,0,0.0,On-Site,Travel_Rarely,5,No,2025-09-13,
EMP000008,Employee_8,Male,27.0,Research & Development,Healthcare Representative,2,Bachelor,5.0,5,73916.0,Medium,Yes,1,2,2,2,18,0,4.0,On-Site,Travel_Rarely,1,No,2011-04-12,
EMP000009,Employee_9,Male,29.0,Sales,Manager,4,Master,2.1,7,111987.0,High,Yes,3,3,4,3,61,0,0.0,Hybrid,Travel_Rarely,7,No,2024-08-09,
EMP000010,Employee_10,Male,36.0,Sales,Sales Executive,1,Bachelor,4.5,14,66616.0,Medium,No,2,1,4,4,80,1,1.5,On-Site,Travel_Rarely,12,No,2022-02-13,
EMP000011,Employee_11,Male,28.0,Research & Development,Laboratory Technician,3,Master,1.4,9,93128.0,High,No,4,1,2,3,61,1,0.0,On-Site,Travel_Rarely,19,Yes,2025-04-10,2026-02-06
EMP000012,Employee_12,Female,50.0,Finance,Financial Analyst,5,Bachelor,7.2,28,144687.0,Very High,No,4,3,2,2,0,0,4.2,Hybrid,Travel_Rarely,15,No,2019-06-07,
EMP000013,Employee_13,Male,46.0,Research & Development,Research Scientist,4,High School,8.0,24,134715.0,Very High,Yes,2,4,4,3,65,1,5.0,Fully Remote,Travel_Rarely,14,No,2018-09-07,
EMP000014,Employee_14,Female,34.0,Research & Development,Healthcare Representative,5,Master,8.7,12,133312.0,Very High,No,3,2,4,4,40,0,4.699999999999999,On-Site,Travel_Rarely,23,No,2017-12-29,
EMP000015,Employee_15,Female,53.0,Research & Development,Healthcare Representative,5,Bachelor,16.3,31,136226.0,Very High,No,4,2,4,3,29,0,13.3,Hybrid,Travel_Rarely,27,No,2010-05-11,
EMP000016,Employee_16,Female,33.0,Research & Development,Laboratory Technician,1,Bachelor,11.0,11,68025.0,Medium,No,4,2,4,4,93,1,9.0,On-Site,Travel_Rarely,7,Yes,2014-08-13,2023-06-22
