Employee_ID,Employee_Name,Gender,Age,Department,Job_Role,Job_Level,Education,Years_At_Company,Total_Work_Experience,Salary,Salary_Band,Overtime,Work_Life_Balance,Job_Satisfaction,Environment_Satisfaction,Performance_Rating,Training_Hours,Promotion_Last_Year,Manager_Tenure,Remote_Status,Business_Travel,Absence_Days,Attrition,Hire_Date,Exit_Date
EMP000001,Employee_1,Male,23,IT,Data Scientist,5,PhD,8,8,124518,High,No,4,2,4,3,15,0,4,Fully Remote,Travel_Rarely,27,No,10-05-2012,
EMP000002,Employee_2,Female,51,Research & Development,Research Scientist,1,Bachelor,1.9,29,83699,Medium,Yes,2,2,4,2,52,1,0,On-Site,Travel_Rarely,22,No,04-10-2024,
EMP000003,Employee_3,Female,33,Research & Development,Manufacturing Director,4,Bachelor,2.4,11,100431,High,Yes,3,4,2,3,11,0,0.4,On-Site,Travel_Rarely,25,No,23-04-2024,
EMP000004,Employee_4,Female,39,Human Resources,Manager,4,Bachelor,2.5,17,113027,High,No,4,2,2,3,87,1,1.5,On-Site,Non-Travel,9,No,19-03-2024,
EMP000005,Employee_5,Female,45,Research & Development,Manufacturing Director,1,Master,6.3,23,82105,Medium,No,1,4,3,3,30,0,4.3,On-Site,Travel_Rarely,9,No,30-04-2020,
EMP000006,Employee_6,Female,33,Research & Development,Laboratory Technician,1,Master,8.2,11,75797,Medium,No,4,1,1,4,34,0,4.2,On-Site,Non-Travel,18,Yes,20-06-2018,10-01-2023
EMP000007,Employee_7,Female,39,Finance,Financial Analyst,5,High School,1,17,142699,Very High,No,1,3,2,3,12,0,0,On-Site,Travel_Rarely,5,No,13-09-2025,
EMP000008,Employee_8,Male,27,Research & Development,Healthcare Representative,2,Bachelor,5,5,73916,Medium,Yes,1,2,2,2,18,0,4,On-Site,Travel_Rarely,1,No,12-04-2011,
EMP000009,Employee_9,Male,29,Sales,Manager,4,Master,2.1,7,111987,High,Yes,3,3,4,3,61,0,0,Hybrid,Travel_Rarely,7,No,09-08-2024,
EMP000010,Employee_10,Male,36,Sales,Sales Executive,1,Bachelor,4.5,14,66616,Medium,No,2,1,4,4,80,1,1.5,On-Site,Travel_Rarely,12,No,13-02-2022,
EMP000011,Employee_11,Male,28,Research & Development,Laboratory Technician,3,Master,1.4,9,93128,High,No,4,1,2,3,61,1,0,On-Site,Travel_Rarely,19,Yes,10-04-2025,06-02-2026
EMP000012,Employee_12,Female,50,Finance,Financial Analyst,5,Bachelor,7.2,28,144687,Very High,No,4,3,2,2,0,0,4.2,Hybrid,Travel_Rarely,15,No,07-06-2019,
EMP000013,Employee_13,Male,46,Research & Development,Research Scientist,4,High School,8,24,134715,Very High,Yes,2,4,4,3,65,1,5,Fully Remote,Travel_Rarely,14,No,07-09-2018,
EMP000014,Employee_14,Female,34,Research & Development,Healthcare Representative,5,Master,8.7,12,133312,Very High,No,3,2,4,4,40,0,4.7,On-Site,Travel_Rarely,23,No,29-12-2017,
EMP000015,Employee_15,Female,53,Research & Development,Healthcare Representative,5,Bachelor,16.3,31,136226,Very High,No,4,2,4,3,29,0,13.3,Hybrid,Travel_Rarely,27,No,11-05-2010,
EMP000016,Employee_16,Female,33,Research & Development,Laboratory Technician,1,Bachelor,11,11,68025,Medium,No,4,2,4,4,93,1,9,On-Site,Travel_Rarely,7,Yes,13-08-2014,22-06-2023
EMP000017,Employee_17,Male,46,Research & Development,Healthcare Representative,5,Bachelor,14.6,24,133191,Very High,No,1,1,3,3,55,0,10.6,Fully Remote,Travel_Rarely,22,No,09-02-2012,
EMP000018,Employee_18,Male,40,Sales,Sales Executive,3,High School,10.1,18,108694,High,Yes,1,1,2,3,96,0,6.1,On-Site,Travel_Rarely,12,No,19-07-2016,
EMP000019,Employee_19,Female,37,Research & Development,Manager,5,Master,1.3,15,132440,Very High,Yes,3,2,3,2,9,0,0,Fully Remote,Non-Travel,10,No,13-05-2025,
EMP000020,Employee_20,Female,33,Research & Development,Research Scientist,4,Bachelor,10,11,108002,High,Yes,1,1,2,3,18,1,8,Hybrid,Travel_Frequently,8,No,30-08-2016,
EMP000021,Employee_21,Male,56,Research & Development,Manager,5,Bachelor,2.1,34,148974,Very High,No,2,2,1,2,58,0,0,Hybrid,Travel_Rarely,5,No,17-07-2024,
EMP000022,Employee_22,Female,57,Research & Development,Research Scientist,3,Bachelor,2.8,35,113030,High,No,4,2,2,3,59,0,0.8,Fully Remote,Travel_Frequently,28,No,31-10-2023,
EMP000023,Employee_23,Female,45,Sales,Sales Representative,4,Bachelor,13.4,23,121378,High,Yes,3,1,4,3,80,0,12.4,Fully Remote,Travel_Frequently,7,No,30-03-2013,
EMP000024,Employee_24,Female,54,Research & Development,Laboratory Technician,5,Bachelor,4.2,32,149561,Very High,No,2,3,3,3,6,1,0.2,On-Site,Travel_Frequently,16,No,22-06-2022,
EMP000025,Employee_25,Male,57,Research & Development,Research Scientist,5,High School,7.4,35,147814,Very High,No,2,3,2,3,62,0,5.4,Hybrid,Travel_Rarely,13,No,09-04-2019,
EMP000026,Employee_26,Female,25,Sales,Sales Executive,3,Master,5,5,87052,Medium,No,3,4,4,3,17,0,2,On-Site,Travel_Rarely,4,No,10-04-2021,
EMP000027,Employee_27,Female,56,Sales,Sales Executive,3,Bachelor,3.4,34,123089,High,No,2,1,3,2,66,0,2.4,Hybrid,Travel_Frequently,3,No,06-04-2023,
EMP000028,Employee_28,Female,29,Sales,Sales Executive,3,Bachelor,7,7,84995,Medium,No,1,1,4,2,49,0,6,On-Site,Travel_Rarely,24,No,14-12-2017,
EMP000029,Employee_29,Female,29,IT,IT Support,1,Bachelor,9,9,66645,Medium,No,4,3,1,3,8,0,8,Fully Remote,Travel_Rarely,0,No,20-04-2011,
EMP000030,Employee_30,Female,28,Sales,Sales Executive,5,Bachelor,6,6,116275,High,Yes,3,3,3,3,42,0,2,On-Site,Travel_Rarely,0,No,18-12-2012,
EMP000031,Employee_31,Female,46,Finance,Accountant,4,Bachelor,9.7,24,114910,High,No,4,1,1,3,71,0,6.7,On-Site,Travel_Rarely,20,No,02-01-2017,
EMP000032,Employee_32,Female,56,Sales,Sales Executive,4,Bachelor,11.1,34,145098,Very High,No,3,4,3,3,60,0,9.1,On-Site,Travel_Frequently,19,No,10-08-2015,
EMP000033,Employee_33,Male,36,IT,Software Engineer,5,Bachelor,9.1,14,121342,High,Yes,3,4,3,3,87,0,8.1,On-Site,Non-Travel,16,No,10-07-2017,
EMP000034,Employee_34,Female,39,Sales,Sales Executive,5,Bachelor,14,17,122122,High,No,4,2,1,2,98,1,11,Hybrid,Travel_Rarely,4,No,02-09-2012,
EMP000035,Employee_35,Male,32,Research & Development,Laboratory Technician,3,Master,10,10,98374,High,Yes,2,4,3,2,77,0,8,On-Site,Travel_Rarely,5,No,12-12-2014,
EMP000036,Employee_36,Male,51,Sales,Sales Executive,2,PhD,16.1,29,94911,High,No,2,3,2,3,69,0,13.1,Hybrid,Travel_Rarely,24,No,09-07-2010,
EMP000037,Employee_37,Female,50,Finance,Accountant,5,Master,9.2,28,152157,Very High,Yes,1,2,4,3,95,0,6.2,Fully Remote,Travel_Rarely,12,No,27-06-2017,
EMP000038,Employee_38,Male,44,Research & Development,Research Scientist,5,Bachelor,8.4,22,128989,High,Yes,4,3,4,3,8,1,5.4,Fully Remote,Travel_Rarely,21,No,25-03-2018,
EMP000039,Employee_39,Female,55,Research & Development,Manufacturing Director,3,Master,3.9,33,124113,High,No,1,4,3,3,27,0,0,On-Site,Travel_Rarely,22,No,03-10-2022,
EMP000040,Employee_40,Female,40,Research & Development,Laboratory Technician,3,Master,11.5,18,98958,High,No,2,2,3,3,62,0,8.5,On-Site,Travel_Frequently,29,No,15-03-2015,
EMP000041,Employee_41,Male,37,Research & Development,Healthcare Representative,2,High School,13.2,15,83905,Medium,No,2,1,4,3,27,0,10.2,On-Site,Non-Travel,10,No,21-06-2013,
EMP000042,Employee_42,Female,27,IT,Software Engineer,1,Master,5,5,57163,Medium,Yes,3,4,2,4,32,0,3,Hybrid,Non-Travel,13,No,09-03-2014,
EMP000043,Employee_43,Female,36,,Manager,3,Bachelor,7.9,14,98005,High,No,3,1,2,3,30,0,3.9,Fully Remote,Travel_Frequently,10,No,08-10-2018,
EMP000044,Employee_44,Female,30,Sales,Sales Executive,5,PhD,6.9,8,120645,High,Yes,1,2,2,3,76,0,4.9,Fully Remote,Travel_Frequently,21,No,27-09-2019,
EMP000045,Employee_45,Female,50,Finance,Financial Analyst,2,High School,6,28,93299,High,No,1,4,3,4,46,0,5,On-Site,Non-Travel,13,No,26-08-2020,
EMP000046,Employee_46,Male,23,Sales,Sales Representative,4,Master,1,1,105435,High,No,1,1,1,3,23,0,0,On-Site,Travel_Frequently,5,No,09-10-2011,
EMP000047,Employee_47,Female,54,Research & Development,Healthcare Representative,3,Master,8.8,32,117551,High,No,2,3,4,3,45,1,6.8,Hybrid,Travel_Rarely,15,No,28-11-2017,
EMP000048,Employee_48,Male,59,Finance,Accountant,5,Master,1.9,37,149516,Very High,Yes,2,2,4,3,23,0,0.9,On-Site,Travel_Rarely,11,No,07-10-2024,
EMP000049,Employee_49,Female,44,Finance,Accountant,4,Bachelor,10,22,123547,High,Yes,2,2,2,3,94,1,9,Hybrid,Travel_Rarely,12,No,01-09-2016,
EMP000050,Employee_50,Male,34,Finance,Accountant,2,Master,12,12,91130,High,No,3,4,2,3,79,0,8,Hybrid,Travel_Frequently,5,No,24-08-2011,
EMP000051,Employee_51,Female,41,Human Resources,Manager,4,Master,10.2,19,124116,High,No,3,3,1,3,19,0,6.2,On-Site,Travel_Rarely,10,No,21-06-2016,
