Column,Missing_Values,Missing_Percentage,Unique_Values,Data_Type
Employee_ID,0,0.0,105000,object
Employee_Name,0,0.0,105000,object
Gender,0,0.0,3,object
Age,1046,0.9961904761904762,38,float64
Department,1046,0.9961904761904762,5,object
Job_Role,0,0.0,13,object
Job_Level,0,0.0,5,int64
Education,0,0.0,4,object
Years_At_Company,0,0.0,168,float64
Total_Work_Experience,0,0.0,38,int64
Salary,0,0.0,62768,float64
Salary_Band,0,0.0,4,object
Overtime,0,0.0,2,object
Work_Life_Balance,0,0.0,4,int64
Job_Satisfaction,0,0.0,4,int64
Environment_Satisfaction,0,0.0,4,int64
Performance_Rating,0,0.0,3,int64
Training_Hours,0,0.0,100,int64
Promotion_Last_Year,0,0.0,2,int64
Manager_Tenure,0,0.0,184,float64
Remote_Status,0,0.0,3,object
Business_Travel,0,0.0,3,object
Absence_Days,0,0.0,30,int64
Attrition,0,0.0,2,object
Hire_Date,0,0.0,6087,object
Exit_Date,93931,89.45809523809524,3989,object
